pincode,state,district,district_tamil,taluk,taluk_count,district_ambiguous,post_office,lat,lon
621202,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Musiri,1,no,Ayyampalayam S.O,10.9300,78.4700
621203,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thottiyam,1,no,Balasamudram S.O (Tiruchirappalli),10.9800,78.3100
621204,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Musiri,1,no,Gunasilam S.O,10.9000,78.5700
621205,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Musiri,1,no,Jambunathapuram S.O,11.0500,78.4800
621206,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,1,no,Kannanur S.O,11.0900,78.5100
621207,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thottiyam,1,no,Kattuputhur S.O,11.0700,78.2400
621208,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Musiri,2,no,Kolakkudi S.O,11.0500,78.4100
621209,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thottiyam,1,no,Manamedu S.O,10.9700,78.4100
621210,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Musiri,2,no,Mettupalayam S.O,11.1800,78.4400
621211,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Musiri,1,no,Musiri S.O,11.0300,78.4300
621212,TN,Perambalur,பெரம்பலூர்,Perambalur,1,no,Perambalur H.O,11.2400,78.8700
621213,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manachanallur,1,no,Sirugambur S.O,10.8900,78.6200
621214,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Musiri,1,no,Thathiengarpet S.O,11.1000,78.4700
621215,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thottiyam,1,yes,Thottiam S.O,10.9700,78.3300
621216,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manachanallur,2,no,Bikshandarkoil S.O,10.8800,78.7200
621217,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Musiri,1,no,Thandalaiputhur S.O,11.0300,78.5600
621218,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,1,no,Valady So,10.8800,78.7400
621219,TN,Perambalur,பெரம்பலூர்,Perambalur,2,no,Yesanai S.O,11.2900,78.8700
621220,TN,Perambalur,பெரம்பலூர்,Perambalur,1,yes,Thoramangalam S.O,11.2200,78.9200
621301,TN,Karur,கரூர்,Kadavur,1,no,Chinthamanipatti S.O,10.7500,78.2700
621302,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manapparai,1,no,Elangakurichi S.O,10.5300,78.3100
621305,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Marungapuri,3,yes,Kovilpatti S.O,10.5000,78.4300
621306,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manapparai,2,no,Manaparai S.O,10.6200,78.4300
621307,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manapparai,1,no,Manjampatti S.O,10.6300,78.3500
621308,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Marungapuri,2,yes,Palakurichi S.O,10.4500,78.5400
621310,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Marungapuri,1,no,Puthanatham S.O,10.4600,78.3300
621311,TN,Karur,கரூர்,Kadavur,2,yes,Tharagampatti S.O,10.7085,78.2404
621312,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manapparai,2,yes,Thiagesaralai S.O,10.5900,78.4500
621313,TN,Karur,கரூர்,Kulithalai,2,no,Thogaimalai S.O,10.7500,78.5100
621314,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manapparai,2,no,Thuvarankurichi S.O,10.3500,78.3900
621315,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manapparai,1,yes,Vaiyampatti S.O,10.5100,78.2100
621316,TN,Pudukkottai,புதுக்கோட்டை,Viralimalai,2,no,Viralimalai S.O,10.6100,78.5900
621601,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,1,no,Lalgudi Ho,10.8753,78.8152
621651,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,2,yes,Kallakudi Tr So,11.0000,78.8800
621652,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,2,no,Kallakudi North So,10.9726,78.9497
621653,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,3,yes,Kallagam So,11.0100,78.9800
621701,TN,Ariyalur,அரியலூர்,Udayarpalayam,2,no,Ambapur So,11.0200,79.2800
621702,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,1,no,Ambil So,10.9100,78.9300
621703,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,1,no,Angarai So,10.8500,78.8100
621704,TN,Ariyalur,அரியலூர்,Ariyalur,3,yes,Ariyalur Bazaar So,11.1200,79.0900
621705,TN,Ariyalur,அரியலூர்,Ariyalur,1,no,Kallankurichi So,11.1700,79.1500
621706,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,1,no,Kattur Puvalur So,10.8900,78.8700
621707,TN,Ariyalur,அரியலூர்,Ariyalur,2,no,Kilapaluvur So,11.0200,79.1100
621708,TN,Perambalur,பெரம்பலூர்,Kunnam,2,no,Kunnam S.O (Perambalur),11.2600,79.0000
621709,TN,Ariyalur,அரியலூர்,Sendurai,1,no,Mathur So Ariyalur,11.3300,79.1900
621710,TN,Ariyalur,அரியலூர்,Sendurai,3,no,Ponparappi So,11.2800,79.2800
621711,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,1,no,Pullambadi So,10.9800,78.8700
621712,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,1,no,Puvalur So,10.9000,78.8100
621713,TN,Perambalur,பெரம்பலூர்,Alathur,3,yes,Rajajinagar So Ariyalur,11.1500,79.0600
621714,TN,Ariyalur,அரியலூர்,Sendurai,1,yes,Sendurai So Ariyalur,11.2400,79.1900
621715,TN,Ariyalur,அரியலூர்,Ariyalur,1,no,Tirumanur So,10.9500,79.1400
621716,TN,Perambalur,பெரம்பலூர்,Kunnam,2,yes,Tungapuram S.O,11.2600,79.1100
621717,TN,Perambalur,பெரம்பலூர்,Kunnam,1,no,Veppur S.O,11.3100,79.0300
621718,TN,Ariyalur,அரியலூர்,Ariyalur,2,no,Rayambaram So,11.1900,79.1700
621719,TN,Ariyalur,அரியலூர்,Sendurai,2,no,Asaveerankudikadu So,11.1877,79.2581
621722,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Ariyalur,2,yes,Viragalur So,10.9100,78.9700
621729,TN,Ariyalur,அரியலூர்,Ariyalur,1,no,Ariyalur Cement Factory So,11.1393,79.0961
621730,TN,Ariyalur,அரியலூர்,Sendurai,1,no,Cement Nagar Dalavoy So,11.3600,79.2100
621731,TN,Ariyalur,அரியலூர்,Ariyalur,1,no,Reddipalayam So,11.1145,79.1659
621801,TN,Ariyalur,அரியலூர்,Andimadam,1,no,Andimadam So,10.8900,78.9000
621802,TN,Ariyalur,அரியலூர்,Udayarpalayam,1,no,Jayamkondacholapuram So,11.2100,79.3900
621803,TN,Ariyalur,அரியலூர்,Andimadam,2,no,Kallathur Thandalai So,11.3100,79.3400
621804,TN,Ariyalur,அரியலூர்,Udayarpalayam,2,no,Udayarpalayam So Ariyalur,11.1900,79.2400
621805,TN,Ariyalur,அரியலூர்,Andimadam,1,no,Varadarajampettai So,11.3200,79.4100
621806,TN,Ariyalur,அரியலூர்,Andimadam,2,no,Variyankaval So,11.2200,79.2500
621851,TN,Ariyalur,அரியலூர்,Ariyalur,1,no,Thirumazhapadi So,10.9500,79.0200
622001,TN,Pudukkottai,புதுக்கோட்டை,Pudukkottai,1,no,Pudukkottai H.O,10.3690,78.8149
622002,TN,Pudukkottai,புதுக்கோட்டை,Ponnamaravathi,3,no,Tirugokarnam S.O,10.3600,78.6100
622003,TN,Pudukkottai,புதுக்கோட்டை,Pudukkottai,1,no,Rajagopalapuram S.O,10.3300,78.8200
622004,TN,Pudukkottai,புதுக்கோட்டை,Pudukkottai,1,no,Pudukkottai Ind. Estate S.O,10.4200,78.9000
622005,TN,Pudukkottai,புதுக்கோட்டை,,0,no,Pudukkottai Collectorate S.O,10.3800,78.8200
622101,TN,Pudukkottai,புதுக்கோட்டை,Iluppur,3,no,Annavasal S.O,10.4400,78.7200
622102,TN,Pudukkottai,புதுக்கோட்டை,Iluppur,1,yes,Illuppur S.O,10.5000,78.6000
622103,TN,Pudukkottai,புதுக்கோட்டை,Iluppur,1,no,Muckanamalaipatti S.O,10.2200,78.8000
622104,TN,Pudukkottai,புதுக்கோட்டை,Iluppur,3,no,Vayalogam S.O,10.3700,78.7300
622201,TN,Pudukkottai,புதுக்கோட்டை,Alangudi,4,no,Arimalam S.O,10.3800,78.6400
622202,TN,Pudukkottai,புதுக்கோட்டை,Thirumayam,4,no,Kilanilai S.O,10.2000,78.9500
622203,TN,Pudukkottai,புதுக்கோட்டை,Pudukkottai,3,no,Perungalur S.O,10.5200,79.0300
622204,TN,Pudukkottai,புதுக்கோட்டை,Avudayarkoil,2,no,Yembal S.O,10.0800,78.9600
622209,TN,Pudukkottai,புதுக்கோட்டை,Thirumayam,1,no,Kilanilaikottai S.O,10.1400,78.8600
622301,TN,Pudukkottai,புதுக்கோட்டை,Kulathur,7,no,Alangudi S.O,9.9300,79.0200
622302,TN,Pudukkottai,புதுக்கோட்டை,Karambakudi,3,no,Karambakudi S.O,10.5200,79.1100
622303,TN,Pudukkottai,புதுக்கோட்டை,Alangudi,2,no,Tiruvarankulam S.O,10.3600,78.8600
622304,TN,Pudukkottai,புதுக்கோட்டை,Alangudi,3,yes,Vadakadu S.O,10.3300,79.0800
622401,TN,Pudukkottai,புதுக்கோட்டை,Ponnamaravathi,2,no,Koppanapatti S.O,10.3000,78.6000
